-64	-56	-61	-66	-71	-82	-81	1
-68	-57	-61	-65	-71	-85	-85	1
-63	-60	-60	-67	-76	-85	-84	1
-61	-60	-68	-62	-77	-90	-80	1
-63	-65	-60	-63	-77	-81	-87	1
-64	-55	-63	-66	-76	-88	-83	1
-65	-61	-65	-67	-69	-87	-84	1
-61	-63	-58	-66	-74	-87	-82	1
-65	-60	-59	-63	-76	-86	-82	1
-62	-60	-66	-68	-80	-86	-91	1
-40	-56	-57	-35	-84	-70	-66	2
-36	-60	-57	-37	-68	-66	-77	2
-36	-59	-57	-19	-70	-69	-75	2
-17	-59	-63	-15	-70	-76	-85	2
-35	-57	-54	-35	-64	-78	-76	2
-39	-54	-55	-37	-61	-77	-79	2
-42	-56	-52	-36	-75	-68	-81	2
-39	-51	-64	-38	-71	-78	-78	2
-43	-53	-53	-38	-63	-76	-73	2
-40	-56	-56	-38	-66	-77	-74	2
-50	-60	-73	-58	-68	-88	-92	3
-49	-59	-57	-50	-72	-80	-91	3
-49	-59	-56	-50	-63	-80	-91	3
-49	-62	-56	-50	-63	-83	-89	3
-49	-61	-56	-49	-64	-84	-89	3
-49	-60	-55	-49	-63	-85	-89	3
-49	-60	-56	-50	-63	-84	-87	3
-49	-61	-55	-49	-62	-84	-89	3
-49	-61	-55	-53	-72	-85	-92	3
-53	-57	-62	-55	-60	-86	-83	3
-61	-55	-46	-57	-46	-83	-85	4
-56	-53	-49	-60	-48	-82	-85	4
-61	-56	-52	-62	-52	-82	-87	4
-64	-58	-48	-63	-42	-85	-93	4
-58	-56	-44	-60	-47	-84	-85	4
-58	-51	-49	-61	-48	-88	-85	4
-57	-55	-45	-59	-50	-85	-85	4
-61	-52	-48	-57	-47	-85	-85	4
-59	-50	-51	-59	-51	-83	-85	4
-60	-52	-48	-61	-48	-83	-84	4
